epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1049.3,1.24362,0.58873,1.08465,0.93207,0.93767,0.9611,0.57032,1.28608,0.55851,1.13443,0.000557,0.000557,0.000557
58,1064.66,1.23722,0.57945,1.10608,0.91584,0.91,0.95225,0.56493,1.21852,0.576,1.1236,0.000544625,0.000544625,0.000544625
59,1079.78,1.224,0.58407,1.0825,0.93198,0.92,0.95859,0.56701,1.21767,0.57848,1.12362,0.00053225,0.00053225,0.00053225
60,1095,1.1816,0.57714,1.06021,0.93432,0.92417,0.96221,0.56919,1.28274,0.56862,1.12947,0.000519875,0.000519875,0.000519875
61,1109.99,1.234,0.56533,1.08969,0.93671,0.92917,0.96417,0.54371,1.35109,0.57044,1.15386,0.0005075,0.0005075,0.0005075
62,1125.31,1.21962,0.5732,1.08422,0.92939,0.9225,0.95378,0.56084,1.279,0.58402,1.14252,0.000495125,0.000495125,0.000495125
63,1145.34,1.21166,0.56558,1.07814,0.93712,0.93151,0.95864,0.57825,1.23462,0.54804,1.11839,0.00048275,0.00048275,0.00048275
64,1166.01,1.18468,0.54496,1.06999,0.93097,0.95,0.96172,0.58245,1.2385,0.52197,1.11385,0.000470375,0.000470375,0.000470375
65,1181.64,1.18835,0.5447,1.07713,0.92533,0.93417,0.94671,0.57099,1.23757,0.54447,1.13464,0.000458,0.000458,0.000458
66,1201.83,1.18046,0.5369,1.08802,0.93756,0.92595,0.95668,0.57991,1.24524,0.53314,1.12798,0.000445625,0.000445625,0.000445625
67,1216.96,1.18897,0.53396,1.06882,0.92987,0.9503,0.96513,0.57953,1.26238,0.53398,1.12464,0.00043325,0.00043325,0.00043325
68,1232.09,1.18631,0.56362,1.0662,0.93723,0.93325,0.96327,0.59534,1.21567,0.53243,1.11819,0.000420875,0.000420875,0.000420875
69,1252.86,1.19433,0.54735,1.04136,0.94255,0.93167,0.96257,0.57718,1.28429,0.54293,1.13149,0.0004085,0.0004085,0.0004085
70,1268.01,1.16936,0.54796,1.06376,0.94857,0.92917,0.96374,0.58116,1.26556,0.52709,1.13447,0.000396125,0.000396125,0.000396125
71,1283.1,1.18566,0.53582,1.06082,0.94052,0.93557,0.96233,0.60194,1.19565,0.5215,1.1175,0.00038375,0.00038375,0.00038375
72,1298.51,1.18733,0.55513,1.0813,0.92478,0.93583,0.96254,0.59415,1.19812,0.54883,1.10725,0.000371375,0.000371375,0.000371375
73,1313.62,1.18154,0.54245,1.06103,0.92745,0.93753,0.96527,0.60872,1.18375,0.53986,1.09872,0.000359,0.000359,0.000359
74,1329.65,1.17466,0.53406,1.06573,0.92649,0.93417,0.96099,0.59143,1.28844,0.54619,1.13366,0.000346625,0.000346625,0.000346625
75,1355.01,1.16051,0.52842,1.0608,0.94328,0.91917,0.96261,0.59682,1.22523,0.5582,1.11376,0.00033425,0.00033425,0.00033425
76,1371.2,1.1312,0.52085,1.05334,0.94229,0.93167,0.96633,0.60717,1.18654,0.52606,1.11109,0.000321875,0.000321875,0.000321875
77,1397.07,1.2244,0.54661,1.07892,0.9356,0.93417,0.96723,0.60856,1.19963,0.51936,1.10744,0.0003095,0.0003095,0.0003095
78,1412.94,1.15159,0.54038,1.06699,0.9295,0.93389,0.96757,0.60238,1.18168,0.5252,1.10339,0.000297125,0.000297125,0.000297125
79,1435.95,1.15832,0.52508,1.07063,0.92365,0.93758,0.9639,0.60802,1.18955,0.51665,1.10431,0.00028475,0.00028475,0.00028475
80,1456.43,1.18284,0.53038,1.0757,0.93533,0.94018,0.96973,0.61048,1.1753,0.5102,1.1002,0.000272375,0.000272375,0.000272375
81,1483.19,1.15562,0.52453,1.05639,0.93797,0.94514,0.96948,0.60897,1.18389,0.51334,1.10697,0.00026,0.00026,0.00026
82,1504.18,1.12168,0.52317,1.03157,0.94238,0.94046,0.96852,0.60948,1.18489,0.52565,1.10618,0.000247625,0.000247625,0.000247625
83,1520.12,1.13053,0.5163,1.04475,0.92787,0.94336,0.96382,0.60785,1.172,0.50941,1.10755,0.00023525,0.00023525,0.00023525
84,1540.24,1.13896,0.51817,1.0525,0.92945,0.94333,0.96404,0.59407,1.20468,0.51635,1.11231,0.000222875,0.000222875,0.000222875
85,1555.44,1.14366,0.52307,1.04192,0.93895,0.93667,0.96476,0.58624,1.2841,0.52897,1.13155,0.0002105,0.0002105,0.0002105
86,1570.56,1.15388,0.53024,1.07373,0.93905,0.93667,0.96341,0.60445,1.19381,0.51954,1.11104,0.000198125,0.000198125,0.000198125
87,1586.05,1.13283,0.52983,1.06458,0.93551,0.935,0.96207,0.5965,1.20832,0.52964,1.11764,0.00018575,0.00018575,0.00018575
88,1601.95,1.11493,0.50947,1.04584,0.92226,0.9491,0.96123,0.6021,1.1802,0.52336,1.10854,0.000173375,0.000173375,0.000173375
